year,province,month,age_group,dead_people,injury_people
2022,Kanchanaburi,March,25-35,2,143
2022,Kanchanaburi,March,36-60,9,202
2022,Kanchanaburi,March,60++,6,68
2022,Kanchanaburi,April,1-14,0,41
2022,Kanchanaburi,April,15-18,1,70
2022,Kanchanaburi,April,19-24,0,84
2022,Kanchanaburi,April,25-35,2,103
2022,Kanchanaburi,April,36-60,9,193
2022,Kanchanaburi,April,60++,4,60
2022,Kanchanaburi,May,1-14,0,41
2022,Kanchanaburi,May,15-18,2,73
2022,Kanchanaburi,May,19-24,2,61
2022,Kanchanaburi,May,25-35,6,119
2022,Kanchanaburi,May,36-60,4,197
2022,Kanchanaburi,May,60++,2,59
2022,Kanchanaburi,June,1-14,2,48
2022,Kanchanaburi,June,15-18,0,103
2022,Kanchanaburi,June,19-24,0,99
2022,Kanchanaburi,June,25-35,2,141
2022,Kanchanaburi,June,36-60,4,202
2022,Kanchanaburi,June,60++,3,73
2022,Kanchanaburi,July,1-14,0,55
2022,Kanchanaburi,July,15-18,1,94
2022,Kanchanaburi,July,19-24,1,89
2022,Kanchanaburi,July,25-35,3,116
2022,Kanchanaburi,July,36-60,3,181
2022,Kanchanaburi,July,60++,1,74
2022,Kanchanaburi,August,1-14,1,62
2022,Kanchanaburi,August,15-18,3,101
2022,Kanchanaburi,August,19-24,0,102
2022,Kanchanaburi,August,25-35,1,104
2022,Kanchanaburi,August,36-60,6,200
2022,Kanchanaburi,August,60++,6,90
2022,Kanchanaburi,September,1-14,4,52
2022,Kanchanaburi,September,15-18,1,79
2022,Kanchanaburi,September,19-24,3,97
2022,Kanchanaburi,September,25-35,1,128
2022,Kanchanaburi,September,36-60,8,211
2022,Kanchanaburi,September,60++,5,76
2022,Kanchanaburi,October,1-14,1,62
2022,Kanchanaburi,October,15-18,0,84
2022,Kanchanaburi,October,19-24,3,99
2022,Kanchanaburi,October,25-35,4,147
2022,Kanchanaburi,October,36-60,9,195
2022,Kanchanaburi,October,60++,1,85
2022,Kanchanaburi,November,1-14,0,42
2022,Kanchanaburi,November,15-18,4,101
2022,Kanchanaburi,November,19-24,2,88
2022,Kanchanaburi,November,25-35,1,113
2022,Kanchanaburi,November,36-60,6,209
2022,Kanchanaburi,November,60++,4,92
2022,Kanchanaburi,December,1-14,0,23
2022,Kanchanaburi,December,15-18,2,44
2022,Kanchanaburi,December,19-24,4,42
2022,Kanchanaburi,December,25-35,3,56
2022,Kanchanaburi,December,36-60,8,93
2022,Kanchanaburi,December,60++,1,37
2022,Chonburi,January,1-14,1,109
2022,Chonburi,January,15-18,2,181
2022,Chonburi,January,19-24,6,492
2022,Chonburi,January,25-35,12,754
2022,Chonburi,January,36-60,18,752
2022,Chonburi,January,60++,6,138
2022,Chonburi,February,1-14,0,94
2022,Chonburi,February,15-18,2,202
2022,Chonburi,February,19-24,3,463
2022,Chonburi,February,25-35,10,713
2022,Chonburi,February,36-60,9,751
2022,Chonburi,February,60++,3,145
2022,Chonburi,March,1-14,0,126
2022,Chonburi,March,15-18,4,200
2022,Chonburi,March,19-24,4,467
2022,Chonburi,March,25-35,8,744
2022,Chonburi,March,36-60,16,770
2022,Chonburi,March,60++,5,152
2022,Chonburi,April,1-14,0,102
2022,Chonburi,April,15-18,4,192
2022,Chonburi,April,19-24,9,454
2022,Chonburi,April,25-35,7,735
2022,Chonburi,April,36-60,14,788
2022,Chonburi,April,60++,2,144
2022,Chonburi,May,1-14,3,129
2022,Chonburi,May,15-18,2,226
